title,modified_time,kategori,channel,merchant,lokasi,benefit,markdown_benefit,markdown_syarat_dan_ketentuan,syarat_dan_ketentuan,start,end,URL_Name,calltype,Article_Type,record_type
Food & Beverages,2024-03-27 22:37:23,Food & Beverages,"1. Kartu Debit BRI Prioritas, Private & Bisnis Premium 
2. Kartu Kredit BRI World Access dan Infinite, kecuali Corporate Card",LeTeN,Seluruh Indonesia,Diskon 35% maks. Rp350.000,Diskon 35% maks. Rp350.000,"1. Min. transaksi Rp350.000
2. Berlaku setiap hari","1. Min. transaksi Rp350.000
2. Berlaku setiap hari",2024-01-01 00:00:00,2024-06-30 00:00:00,PM-0000011,No Call Type,Promotion,Promotion
Food & Beverages,2024-03-27 22:37:23,Food & Beverages,"Kartu Kredit BRI kecuali World Access, Infinite, dan Corporate Card)",Yakiniku Like,Tidak berlaku di Surabaya,Diskon 20% maks. Rp200.000,Diskon 20% maks. Rp200.000,"1. Min. transaksi Rp350.000
2. Berlaku setiap hari","1. Min. transaksi Rp350.000
2. Berlaku setiap hari",2024-01-01 00:00:00,2024-06-30 00:00:00,PM-0000012,No Call Type,Promotion,Promotion
Food & Beverages,2024-04-22 13:11:34,Food & Beverages,Kartu Kredit,Testing,Jakarta,"[{""name"":""tabel benefit promo"",""table_data"":[[{""key"":""0-0"",""value"":""Section"",""row_span"":1,""col_span"":1},{""key"":""0-1"",""value"":""Calltype"",""row_span"":1,""col_span"":1},{""key"":""0-2"",""value"":""User"",""row_span"":1,""col_span"":1},{""key"":""0-3"",""value"":""Kategori"",""row_span"":1,""col_span"":1},{""key"":""0-4"",""value"":""Sub Kategori"",""row_span"":1,""col_span"":1},{""key"":""0-5"",""value"":""Greeting"",""row_span"":1,""col_span"":1},{""key"":""0-6"",""value"":""Empati"",""row_span"":1,""col_span"":1},{""key"":""0-7"",""value"":""Konfirmasi"",""row_span"":1,""col_span"":1},{""key"":""0-8"",""value"":""Verifikasi"",""row_span"":1,""col_span"":1},{""key"":""0-9"",""value"":""Cek Laporan"",""row_span"":1,""col_span"":1},{""key"":""0-10"",""value"":""Gali Informasi"",""row_span"":1,""col_span"":1},{""key"":""0-11"",""value"":""Pembuatan Laporan"",""row_span"":1,""col_span"":1},{""key"":""0-12"",""value"":""Solusi"",""row_span"":1,""col_span"":1},{""key"":""0-13"",""value"":""Konfirmasi Ulang"",""row_span"":1,""col_span"":1},{""key"":""0-14"",""value"":""Edukasi Cross Selling"",""row_span"":1,""col_span"":1},{""key"":""0-15"",""value"":""Closing"",""row_span"":1,""col_span"":1}]]}]",tabel benefit promoSectionCalltypeUserKategoriSub KategoriGreetingEmpatiKonfirmasiVerifikasiCek LaporanGali InformasiPembuatan LaporanSolusiKonfirmasi UlangEdukasi Cross SellingClosing,table syarat dan ketentuanSectionCalltypeUserKategoriSub KategoriGreetingEmpatiKonfirmasiVerifikasiCek LaporanGali InformasiPembuatan LaporanSolusiKonfirmasi UlangEdukasi Cross SellingClosingBanking0000csBRIMOtestingtesttesttesttesttesttesttesttesttetstesttest,"[{""name"":""table syarat dan ketentuan"",""table_data"":[[{""key"":""0-0"",""value"":""Section"",""row_span"":1,""col_span"":1},{""key"":""0-1"",""value"":""Calltype"",""row_span"":1,""col_span"":1},{""key"":""0-2"",""value"":""User"",""row_span"":1,""col_span"":1},{""key"":""0-3"",""value"":""Kategori"",""row_span"":1,""col_span"":1},{""key"":""0-4"",""value"":""Sub Kategori"",""row_span"":1,""col_span"":1},{""key"":""0-5"",""value"":""Greeting"",""row_span"":1,""col_span"":1},{""key"":""0-6"",""value"":""Empati"",""row_span"":1,""col_span"":1},{""key"":""0-7"",""value"":""Konfirmasi"",""row_span"":1,""col_span"":1},{""key"":""0-8"",""value"":""Verifikasi"",""row_span"":1,""col_span"":1},{""key"":""0-9"",""value"":""Cek Laporan"",""row_span"":1,""col_span"":1},{""key"":""0-10"",""value"":""Gali Informasi"",""row_span"":1,""col_span"":1},{""key"":""0-11"",""value"":""Pembuatan Laporan"",""row_span"":1,""col_span"":1},{""key"":""0-12"",""value"":""Solusi"",""row_span"":1,""col_span"":1},{""key"":""0-13"",""value"":""Konfirmasi Ulang"",""row_span"":1,""col_span"":1},{""key"":""0-14"",""value"":""Edukasi Cross Selling"",""row_span"":1,""col_span"":1},{""key"":""0-15"",""value"":""Closing"",""row_span"":1,""col_span"":1}],[{""key"":""1-0"",""value"":""Banking"",""row_span"":1,""col_span"":1},{""key"":""1-1"",""value"":""0000"",""row_span"":1,""col_span"":1},{""key"":""1-2"",""value"":""cs"",""row_span"":1,""col_span"":1},{""key"":""1-3"",""value"":""BRIMO"",""row_span"":1,""col_span"":1},{""key"":""1-4"",""value"":""testing"",""row_span"":1,""col_span"":1},{""key"":""1-5"",""value"":""test"",""row_span"":1,""col_span"":1},{""key"":""1-6"",""value"":""test"",""row_span"":1,""col_span"":1},{""key"":""1-7"",""value"":""test"",""row_span"":1,""col_span"":1},{""key"":""1-8"",""value"":""test"",""row_span"":1,""col_span"":1},{""key"":""1-9"",""value"":""test"",""row_span"":1,""col_span"":1},{""key"":""1-10"",""value"":""test"",""row_span"":1,""col_span"":1},{""key"":""1-11"",""value"":""test"",""row_span"":1,""col_span"":1},{""key"":""1-12"",""value"":""test"",""row_span"":1,""col_span"":1},{""key"":""1-13"",""value"":""tets"",""row_span"":1,""col_span"":1},{""key"":""1-14"",""value"":""test"",""row_span"":1,""col_span"":1},{""key"":""1-15"",""value"":""test"",""row_span"":1,""col_span"":1}]]}]",2024-04-30 00:00:00,2025-01-04 00:00:00,PM-0000013,No Call Type,Promotion,Promotion
Food & Beverages,2024-06-14 15:45:18,Food & Beverages,Kartu Kredit,Gandy Steak,-,Diskon 20%,Diskon 20%,"1 Minimum transaksi Rp200.000
2. Maksimum transaksi Rp2.000.000
3. Promo tidak dapat digabungkan dengan promo lain
4. Syarat & ketentuan berlaku
5. Promo tidak berlaku tanggal 10,14 Februari & 10, 11 April 2024
6. Berlaku untuk seluruh kartu kredit BRI, termasuk Co-Branding, kecuali Corporate Card","1 Minimum transaksi Rp200.000
2. Maksimum transaksi Rp2.000.000
3. Promo tidak dapat digabungkan dengan promo lain
4. Syarat & ketentuan berlaku
5. Promo tidak berlaku tanggal 10,14 Februari & 10, 11 April 2024
6. Berlaku untuk seluruh kartu kredit BRI, termasuk Co-Branding, kecuali Corporate Card",2024-06-14 00:00:00,2024-07-31 00:00:00,PM-0000014,No Call Type,Promotion,Promotion
Fashion,2024-03-27 22:37:23,Fashion,"1. Seluruh jenis Kartu Debit BRI 
2. Seluruh jenis Kartu Kredit BRI",Giordano Ladies,,Diskon 10%,Diskon 10%,"1. Min. transaksi Rp2.000.000
2. Berlaku setiap hari selama periode promo berlangsung
3. Cicilan 0% tenor 3 bulan dengan minimal transaksi Rp3.000.000
4. Cicilan 0% tenor 6 bulan dengan minimal transaksi Rp4.000.000
5. Cicilan 0% tenor 12 bulan dengan minimal transaksi Rp6.000.000","1. Min. transaksi Rp2.000.000
2. Berlaku setiap hari selama periode promo berlangsung
3. Cicilan 0% tenor 3 bulan dengan minimal transaksi Rp3.000.000
4. Cicilan 0% tenor 6 bulan dengan minimal transaksi Rp4.000.000
5. Cicilan 0% tenor 12 bulan dengan minimal transaksi Rp6.000.000",2023-10-01 00:00:00,2024-09-30 00:00:00,PM-0000015,No Call Type,Promotion,Promotion
Travel & Hotel,2024-03-27 22:37:23,Travel & Hotel,- Transaksi BRIVA BRI,JAYA PROPERTY,JAYA PROPERTY,- Free 1 swimming pool ticketuntuk pengguna BRIVA BRI,- Free 1 swimming pool ticketuntuk pengguna BRIVA BRI,"- Menunjukkan pembayaran IPL ke BRIVA BRI

- Maksimal 1 kali per bulan

- Berlaku setiap hari","- Menunjukkan pembayaran IPL ke BRIVA BRI

- Maksimal 1 kali per bulan

- Berlaku setiap hari",2022-11-01 00:00:00,2024-11-20 00:00:00,PM-0000016,No Call Type,Promotion,Promotion
Fashion,2024-06-14 11:16:43,Fashion,"Kartu Kredit,Kartu Debit",The North Face,Seluruh indonesia,Diskon 10%,Diskon 10%,"1. Minimum transaksi Rp1.000.000
2. Berlaku setiap hari selama periode promo berlangsung
3. Cicilan 0% tenor 3 bulan dengan minimal transaksi Rp1.000.000
4. Cicilan 0% tenor 6 bulan dengan minimal transaksi Rp2.000.000
5. Cicilan 0% tenor 12 bulan dengan minimal transaksi Rp3.000.000","1. Minimum transaksi Rp1.000.000
2. Berlaku setiap hari selama periode promo berlangsung
3. Cicilan 0% tenor 3 bulan dengan minimal transaksi Rp1.000.000
4. Cicilan 0% tenor 6 bulan dengan minimal transaksi Rp2.000.000
5. Cicilan 0% tenor 12 bulan dengan minimal transaksi Rp3.000.000",2023-10-01 00:00:00,2024-09-30 00:00:00,PM-0000017,No Call Type,Promotion,Promotion
Lifestyle & Entertainment,2024-06-14 15:48:40,Lifestyle & Entertainment,"Kartu Kredit,Kartu Debit",Kidzania,Pembelian on the spot,"Diskon 20% (One Day Pass)
Diskon 25% (Half Day Pass Weekend)
Diskon 30% (Half Day Pass Weekday)","Diskon 20% (One Day Pass)
Diskon 25% (Half Day Pass Weekend)
Diskon 30% (Half Day Pass Weekday)","1. Pembelian on the spot
2. Maksimal 4 tiket (anak/dewasa)
3. Dilarang membawa makanan & minuman ke dalam area KidZania.
4. Anak-anak berusia di bawah 8 tahun harus masuk bersama orang dewasa.
5. Anak-anak berusia di atas 8 tahun  tanpa pendamping orang dewasa harap dilengkapi HP GSM serta membawa uang Rupiah
6. Pengunjung dewasa tanpa anak tidak diperkenankan masuk ke KidZania.
7. Pengunjung dewasa dan/atau toddler dapat diperkenankan untuk keluar area KidZania untuk sementara waktu dan kembali ke area KidZania sepanjang masih dalam satu sesi operasional KidZania. 
8. Ketentuan ini tidak berlaku bagi pengunjung kategori anak (usia 4-16 tahun).
9. Pengunjung dewasa tidak boleh bertukar gelang dengan pengunjung dewasa lain.
10. Pengunjung diwajibkan mengembalikan gelang pengaman kepada petugas ketika meninggalkan area KidZania.
11. Biaya tambahan akan dikenakan jika Customer merubah tanggal atau sesi kunjungan tiket-presale.
12. Perubahan kategori Visitor (Toddler/Anak/Dewasa) akan dikenakan biaya tambahan sesuai harga yang tercantum dan untuk perubahan ke harga tiket yang lebih rendah tidak berlaku refund.
13. KidZania memberikan keistimewaan kepada anak yang merayakan hari ulang tahunnya dengan membeli paket resmi perayaan ulang tahun di KidZania berupa pemberian Izin bagi anak yang merayakan ulang tahun tersebut untuk dapat langsung bermain tanpa mengantri di establishment yang ada di KidZania dengan membawa 1 (satu) orang teman.
14. Promo tidak berlaku di high season
15. Berlaku untuk Debit BRI (Tabungan BritAma, Simpedes, BRI Junio, BRI Prioritas), Kartu Kredit BRI dan BRIZZI","1. Pembelian on the spot
2. Maksimal 4 tiket (anak/dewasa)
3. Dilarang membawa makanan & minuman ke dalam area KidZania.
4. Anak-anak berusia di bawah 8 tahun harus masuk bersama orang dewasa.
5. Anak-anak berusia di atas 8 tahun  tanpa pendamping orang dewasa harap dilengkapi HP GSM serta membawa uang Rupiah
6. Pengunjung dewasa tanpa anak tidak diperkenankan masuk ke KidZania.
7. Pengunjung dewasa dan/atau toddler dapat diperkenankan untuk keluar area KidZania untuk sementara waktu dan kembali ke area KidZania sepanjang masih dalam satu sesi operasional KidZania. 
8. Ketentuan ini tidak berlaku bagi pengunjung kategori anak (usia 4-16 tahun).
9. Pengunjung dewasa tidak boleh bertukar gelang dengan pengunjung dewasa lain.
10. Pengunjung diwajibkan mengembalikan gelang pengaman kepada petugas ketika meninggalkan area KidZania.
11. Biaya tambahan akan dikenakan jika Customer merubah tanggal atau sesi kunjungan tiket-presale.
12. Perubahan kategori Visitor (Toddler/Anak/Dewasa) akan dikenakan biaya tambahan sesuai harga yang tercantum dan untuk perubahan ke harga tiket yang lebih rendah tidak berlaku refund.
13. KidZania memberikan keistimewaan kepada anak yang merayakan hari ulang tahunnya dengan membeli paket resmi perayaan ulang tahun di KidZania berupa pemberian Izin bagi anak yang merayakan ulang tahun tersebut untuk dapat langsung bermain tanpa mengantri di establishment yang ada di KidZania dengan membawa 1 (satu) orang teman.
14. Promo tidak berlaku di high season
15. Berlaku untuk Debit BRI (Tabungan BritAma, Simpedes, BRI Junio, BRI Prioritas), Kartu Kredit BRI dan BRIZZI",2024-06-14 00:00:00,2024-06-15 00:00:00,PM-0000018,No Call Type,Promotion,Promotion
Food & Beverages,2024-06-14 16:13:26,Food & Beverages,"Kartu Kredit,Kartu Debit,QRIS",Feel Matcha,Seluruh outlet,Diskon Rp20.000,Diskon Rp20.000,"- Berlaku untuk all product food and beverages 
- Minimal transaksi Rp70.000 (belum termasuk pajak)
- Berlaku untuk hari PAYDAY (tanggal 25-26 setiap bulannya)
- Berlaku 1 kartu/1 user per hari","- Berlaku untuk all product food and beverages 
- Minimal transaksi Rp70.000 (belum termasuk pajak)
- Berlaku untuk hari PAYDAY (tanggal 25-26 setiap bulannya)
- Berlaku 1 kartu/1 user per hari",2024-06-14 00:00:00,2024-09-25 00:00:00,PM-0000019,No Call Type,Promotion,Promotion
Food & Beverages,2024-06-14 16:31:01,Food & Beverages,"Kartu Kredit,Kartu Debit,BRImo",Jco Reserve,-,"1. Buy 1 Get 1 (Buy 1 Hot Meals Free 1 Chicken Fried Rice)
2. Buy 1 Get 1 (Buy 1 Beverage Free 1 Sachet Coffee Drip Signature)","1. Buy 1 Get 1 (Buy 1 Hot Meals Free 1 Chicken Fried Rice)
2. Buy 1 Get 1 (Buy 1 Beverage Free 1 Sachet Coffee Drip Signature)","1. Buy 1 Get 1 (Buy 1 Hot Meals Free 1 Chicken Fried Rice)		
a. Khusus pengguna Debit BRI, BRImo, dan Kartu Kredit BRI	
b. Berlaku setiap senin-jumat
c. 1x transaksi/akun/hari	
d. Tidak berlaku kelipatan	
e. Promo tidak dapat digabung dengan promo lain	

2. Buy 1 Get 1 (Buy 1 Beverage Free 1 Sachet Coffee Drip Signature)
a. Khusus pengguna Debit BRI, BRImo, dan Kartu Kredit BRI
Promo berlaku hingga 30 Juni 2024 setiap Senin - Jumat
b. Berlaku setiap senin-jumat
c. 1x transaksi/akun/hari	
d. Tidak berlaku kelipatan	
e. Promo tidak dapat digabung dengan promo lain","1. Buy 1 Get 1 (Buy 1 Hot Meals Free 1 Chicken Fried Rice)		
a. Khusus pengguna Debit BRI, BRImo, dan Kartu Kredit BRI	
b. Berlaku setiap senin-jumat
c. 1x transaksi/akun/hari	
d. Tidak berlaku kelipatan	
e. Promo tidak dapat digabung dengan promo lain	

2. Buy 1 Get 1 (Buy 1 Beverage Free 1 Sachet Coffee Drip Signature)
a. Khusus pengguna Debit BRI, BRImo, dan Kartu Kredit BRI
Promo berlaku hingga 30 Juni 2024 setiap Senin - Jumat
b. Berlaku setiap senin-jumat
c. 1x transaksi/akun/hari	
d. Tidak berlaku kelipatan	
e. Promo tidak dapat digabung dengan promo lain",2024-06-14 00:00:00,2024-06-30 00:00:00,PM-0000020,No Call Type,Promotion,Promotion
Food & Beverages,2024-03-27 22:37:23,Food & Beverages,"1. DIskon 20%: 
Seluruh Kartu Kredit BRI kecuali World Access, Infinite, dan Corporate Card
2. Diskon 35%:
a. Kartu Debit BRI Prioritas, Private & Bisnis Premium
b. Kartu Kredit BRI World Access dan Infinite, kecuali Corporate Card",Bakerzin,Seluruh Indonesia,"1. Diskon 20% maks. Rp200.000
2. Diskon 35% maks. Rp350.000","1. Diskon 20% maks. Rp200.000
2. Diskon 35% maks. Rp350.000",Berlaku setiap hari,Berlaku setiap hari,2024-01-01 00:00:00,2024-06-30 00:00:00,PM-0000021,No Call Type,Promotion,Promotion
Food & Beverages,2024-03-27 22:37:23,Food & Beverages,"1. Kartu Debit BRI Prioritas, Private & Bisnis Premium  
2. Kartu Kredit BRI World Access dan Infinite (kecuali Corporate Card)",Kaiyo,"Sushi Kaiyo Lippo Mall Puri, Senayan Park dan Kaiyo Pantai Indah Kapuk",Diskon 35% maks. Rp200.000,Diskon 35% maks. Rp200.000,"1. Min. transaksi Rp350.000
2. Berlaku setiap hari","1. Min. transaksi Rp350.000
2. Berlaku setiap hari",2024-01-01 00:00:00,2024-06-30 00:00:00,PM-0000022,No Call Type,Promotion,Promotion
Food & Beverages,2024-03-27 22:37:23,Food & Beverages,"1. Kartu Debit BRI Prioritas, Private & Bisnis Premium 
2. Kartu Kredit BRI World Access dan Infinite, kecuali Corporate Card",Onokabe,Berlaku di Onokabe Alam Sutera,Buy 2 Get 3,Buy 2 Get 3,"Berlaku setiap hari Jumat, Sabtu, Minggu","Berlaku setiap hari Jumat, Sabtu, Minggu",2024-01-01 00:00:00,2024-06-30 00:00:00,PM-0000023,No Call Type,Promotion,Promotion
Fashion,2024-06-14 11:00:37,Fashion,"Kartu Kredit,Kartu Debit",Keds,Seluruh indonesia,Diskon 10%,Diskon 10%,"1. Minimal transaksi Rp1.500.000
2. Berlaku setiap hari selama periode promo berlangsung
3. Cicilan 0% tenor 3 bulan dengan minimal transaksi Rp2.000.000
4. Cicilan 0% tenor 6 bulan dengan minimal transaksi Rp3.000.000
5. Cicilan 0% tenor 12 bulan dengan minimal transaksi Rp4.000.000","1. Minimal transaksi Rp1.500.000
2. Berlaku setiap hari selama periode promo berlangsung
3. Cicilan 0% tenor 3 bulan dengan minimal transaksi Rp2.000.000
4. Cicilan 0% tenor 6 bulan dengan minimal transaksi Rp3.000.000
5. Cicilan 0% tenor 12 bulan dengan minimal transaksi Rp4.000.000",2023-10-01 00:00:00,2024-09-30 00:00:00,PM-0000024,No Call Type,Promotion,Promotion
